id,nombre,codigo
504,Endebate,DLV00048545
505,Entimema,DLV00004761
506,Entramat,DLV00008826
507,Entre Ambos,DLV00043046
508,Entrelíneas Editores,DLV00001483
509,Eolas Ediciones,DLV00016301
510,Equipo Difusor del Libro  S.L.,DLV00014181
511,Erein Argitaletxea  S.A.,DLV00002343
512,Eride Ediciones,DLV00009741
513,Ernst Klett Sprachen GmbH,DLV00090399
514,Errata Naturae Editores S.L.,DLV00009681
515,Es Pop Ediciones,DLV00015281
516,Escolar y Mayo Editores S.L.,DLV00016421
517,Escuela Española,DLV00080503
518,Esencia,DLV00004583
519,Espasa Círculo de Lectores,DLV00063172
520,Espasa Infantil,DLV00011241
521,Espasa Libros  S.L.,DLV00005501
522,Español Santillana-USAL,DLV00004041
523,Esstudio Ediciones,DLV00069163
524,Estrella Polar,DLV00007982
525,Estudio Didáctico,DLV00040007
526,Eumo Editorial SAU,DLV00007341
527,Eurytion Press  S.L.,DLV00093615
528,Everest Galicia,DLV00000603
529,ExLibric,DLV00016861
530,Express Publishing,DLV00101095
531,FC Editorial,DLV00014161
532,Faktoría K de Libros,DLV00009601
533,Fanbooks,DLV00014641
534,Fandom Books,DLV00102615
535,Fantascy,DLV00015163
536,Farell Editors,DLV00011121
537,Federación de Gremios de Editores de España,DLV00055803
538,Flash,DLV00014081
539,Flow Press Media SL,DLV00082643
540,Fondo de Cultura Económica de España  S.L.,DLV00001464
541,Fragmenta Editorial  SL,DLV00002701
542,Fulgencio Pimentel S.L.,DLV00014381
543,Fundación Anastasio de Gracia-Fitel,DLV00024845
544,Fundación BBVA,DLV00027787
545,Fundación Barrié,DLV00006721
546,Fundación Berg Oceana Aufklarung - Berg Institute,DLV00034085
547,Fundación Centro de Estudios Andaluces,DLV00005781
548,Fundación Germán Sánchez Ruipérez,DLV00003781
549,Fundación José Manuel Lara,DLV00013041
550,Fundación María Jesús Soto,DLV00077866
551,Fundación San Millán de la Cogolla,DLV00036344
552,Fundación Santa María la Real Centro de Estudios del Románico,DLV00007121
553,Fundación Santa María-Ediciones SM,DLV00000345
554,Fundación Universitaria San Pablo CEU,DLV00006261
555,Fundación Vértice Emprende,DLV00011681
556,Fundación Wolters Kluwer,DLV00008441
557,Fórcola Ediciones,DLV00007481
558,GIUNTIEOS Psychometrics SL.,DLV00003763
559,Gadir Editorial  S.L.,DLV00004382
560,Gaia Ediciones,DLV00006844
561,Galaxia Gutenberg  S.L.,DLV00010421
562,Galaxy Press  LLC.,DLV00053749
563,Galería H2O,DLV00068284
564,Gallo Nero Ediciones,DLV00012141
565,Generalitat de Catalunya,DLV00012261
566,Genueve Ediciones,DLV00064994
567,Gestión 2000,DLV00004585
568,Giltza,DLV00002601
569,Godall Edicions SL,DLV00041107
570,Gran Travesía,DLV00030229
571,Gredos,DLV00005981
572,Gribaudo,DLV00080605
573,Grijalbo,DLV00003563
574,Grijalbo Ilustrados,DLV00003682
575,Grup Promotor  S.L.,DLV00000442
576,Grupo Cero,DLV00000941
577,Guadalmazán,DLV00014801
578,Guadiel,DLV00001761
579,Guantanamera,DLV00079485
580,Gulaab,DLV00006845
581,Gunis Media S.L.,DLV00100359
582,Guías Azules de España  S.A.,DLV00013301
583,Guías Kokonino,DLV00010561
584,Hachette,DLV00070664
585,Harlequin Ibérica,DLV00013841
586,Harper Bolsillo,DLV00083220
587,Harper Collins,DLV00020645
588,HarperCollins,DLV00052624
589,HarperKids,DLV00083423
590,Hiperión,DLV00016181
591,Hispania Libros,DLV00002481
592,Hispano Editores,DLV00005301
593,Hojas de Luz,DLV00011362
594,Holobionte Ediciones,DLV00090937
595,Hueber Verlag GMBH & Co. KG,DLV00014902
596,Hércules de Ediciones S.L.,DLV00000741
597,IC Editorial,DLV00001742
598,ICEX España Exportación e Inversiones,DLV00015841
599,Ibergarceta Publicaciones S.L.,DLV00015462
600,Ibergarceta Publicaciones S.L.,DLV00015462
601,Iberoamericana Editorial Vervuert  S.L.,DLV00002147
602,Ideaspropias Editorial,DLV00009921
603,Ikaselkar,DLV00011261
604,Ikasmina Argitaletxea  S.L.,DLV00004103
605,Impedimenta,DLV00006941
606,Imágica Ediciones  S.L.,DLV00013541
607,Incipit,DLV00004741
608,Indicator (Lefebvre-El Derecho  S.A.),DLV00074484
609,Indicios,DLV00011761
610,Institució Alfons el Magnànim,DLV00036362
611,Institut d'Estudis Catalans,DLV00015761
612,Institut d'Estudis Catalans,DLV00015761
613,Instituto Complutense de Ciencias Musicales,DLV00036903
614,Instituto Español de Oceanografía,DLV00018165
615,Instituto Geológico y Minero de España,DLV00010281
616,Instituto Monsa de Ediciones  S.A.,DLV00006562
617,Instituto Nacional de Administración Pública,DLV00015901
618,Instituto Nacional de Estadística,DLV00028010
619,Instituto Nacional de Investigación y Tecnología Agraria y Alimentaria (INIA),DLV00015801
620,Instituto Nacional de las Artes Escénicas y de la Música (INAEM),DLV00015226
621,Instituto de Contabilidad y Auditoria de Cuentas (ICAC),DLV00015861
622,Instituto de Estudios Altoaragoneses,DLV00005703
623,Instituto de Estudios Económicos,DLV00000704
624,Instituto de Estudios Fiscales,DLV00017023
625,Instituto de Salud Carlos III,DLV00019246
626,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),DLV00015225
627,Instituto de la Mujer y para la Igualdad de Oportunidades,DLV00016261
628,Interconsulting Bureau  S.L. (ICB Editores),DLV00009381
629,Interfolio SL,DLV00008201
630,Ipso Ediciones,DLV00084695
631,J.M. Bosch Editor,DLV00009201
632,JPM Ediciones,DLV00012242
633,Kailas Editorial  S.L.,DLV00001465
634,Kakao Books - Libros por la Diversidad,DLV00099616
635,Kalandraka Catalunya,DLV00068492
636,Kalandraka Editora,DLV00000731
637,Kalandraka Editora S.L.,DLV00001841
638,Kami Ediciones,DLV00097855
639,Karma 7,DLV00006846
640,Katakrak,DLV00073825
641,Kepler,DLV00039943
642,Kepler Argentina,DLV00045603
643,Khaf (Edelvives),DLV00008901
644,Kitsune Books,DLV00067984
645,Kns Ediciones,DLV00009881
646,Kolima,DLV00017001
647,L'Altra Editorial,DLV00017061
648,L'Art de la Memòria Edicions,DLV00096515
649,L'Avenç  S.L.,DLV00019981
650,LID Editorial Empresarial  S.L.,DLV00000706
651,La Caja Books,DLV00090136
652,La Campana Llibres S.L.,DLV00070963
653,La Coccinella,DLV00098071
654,La Esfera de los Libros  S.L.,DLV00015002
655,La Fertilidad de la Tierra Ediciones,DLV00036512
656,La Fábrica Editorial,DLV00002341
657,La Galera  SAU,DLV00005881
658,La Ley,DLV00000551
659,La Línea del Horizonte Ediciones,DLV00016221
660,La Osa Menor,DLV00007983
661,La Vocal de Lis  S.C.P.,DLV00064633
